,amount,commission,sid,status,time,symbol
192,63400,1902.0,2010004673,1,2015-03-12 00:00:00+00:00,002583
193,61500,1845.0,2010004982,1,2015-03-12 00:00:00+00:00,300278
194,41300,1239.0,2010009825,1,2015-03-12 00:00:00+00:00,603118
195,48000,1440.0,2010009828,1,2015-03-12 00:00:00+00:00,603618
196,23300,699.0,2010009830,1,2015-03-12 00:00:00+00:00,603939
197,38600,1158.0,2010009835,1,2015-03-12 00:00:00+00:00,002741
198,-3400,102.0,2010000563,1,2015-03-13 00:00:00+00:00,600652
199,-600,18.0,2010001161,1,2015-03-13 00:00:00+00:00,000626
200,500,15.0,2010001422,1,2015-03-13 00:00:00+00:00,000976
201,2800,84.0,2010001651,1,2015-03-13 00:00:00+00:00,002208
202,1700,51.0,2010004245,1,2015-03-13 00:00:00+00:00,002495
203,1500,45.0,2010004673,1,2015-03-13 00:00:00+00:00,002583
204,800,24.0,2010004982,1,2015-03-13 00:00:00+00:00,300278
205,-1000,30.0,2010009825,1,2015-03-13 00:00:00+00:00,603118
206,-1200,36.0,2010009828,1,2015-03-13 00:00:00+00:00,603618
207,-200,6.0,2010009830,1,2015-03-13 00:00:00+00:00,603939
208,-400,12.0,2010009835,1,2015-03-13 00:00:00+00:00,002741
209,-7500,225.0,2010000563,1,2015-03-16 00:00:00+00:00,600652
210,-2900,87.0,2010001161,1,2015-03-16 00:00:00+00:00,000626
211,-4800,144.0,2010001422,1,2015-03-16 00:00:00+00:00,000976
212,-8300,249.0,2010001651,1,2015-03-16 00:00:00+00:00,002208
213,-6200,186.0,2010004245,1,2015-03-16 00:00:00+00:00,002495
214,-2500,75.0,2010004673,1,2015-03-16 00:00:00+00:00,002583
215,-7400,222.0,2010004982,1,2015-03-16 00:00:00+00:00,300278
216,-3800,114.0,2010009825,1,2015-03-16 00:00:00+00:00,603118
217,-2900,87.0,2010009828,1,2015-03-16 00:00:00+00:00,603618
218,41000,1230.0,2010009829,1,2015-03-16 00:00:00+00:00,603969
219,-1600,48.0,2010009830,1,2015-03-16 00:00:00+00:00,603939
220,-2400,72.0,2010009835,1,2015-03-16 00:00:00+00:00,002741
221,-55300,1659.0,2010000563,1,2015-03-17 00:00:00+00:00,600652
222,-123600,3708.0,2010001422,1,2015-03-17 00:00:00+00:00,000976
223,-62100,1863.0,2010001651,1,2015-03-17 00:00:00+00:00,002208
224,-114200,3426.0,2010004245,1,2015-03-17 00:00:00+00:00,002495
225,-62400,1872.0,2010004673,1,2015-03-17 00:00:00+00:00,002583
226,-54900,1647.0,2010004982,1,2015-03-17 00:00:00+00:00,300278
227,-36500,1095.0,2010009825,1,2015-03-17 00:00:00+00:00,603118
228,-43900,1317.0,2010009828,1,2015-03-17 00:00:00+00:00,603618
229,458800,13764.0,2010009829,1,2015-03-17 00:00:00+00:00,603969
230,-21500,645.0,2010009830,1,2015-03-17 00:00:00+00:00,603939
231,-35800,1074.0,2010009835,1,2015-03-17 00:00:00+00:00,002741
232,-49000,1470.0,2010009829,1,2015-03-18 00:00:00+00:00,603969
233,-450800,13524.0,2010009829,1,2015-03-19 00:00:00+00:00,603969
234,8500,255.0,2010000483,1,2015-03-30 00:00:00+00:00,600571
235,42400,1272.0,2010000705,1,2015-03-30 00:00:00+00:00,600794
236,14500,435.0,2010001550,1,2015-03-30 00:00:00+00:00,002107
237,4000,120.0,2010001596,1,2015-03-30 00:00:00+00:00,002153
238,7600,228.0,2010001638,1,2015-03-30 00:00:00+00:00,002195
239,41200,1236.0,2010001688,1,2015-03-30 00:00:00+00:00,002245
240,4400,132.0,2010001711,1,2015-03-30 00:00:00+00:00,002268
241,10200,306.0,2010003318,1,2015-03-30 00:00:00+00:00,300010
242,4200,126.0,2010003380,1,2015-03-30 00:00:00+00:00,300033
243,24400,732.0,2010003403,1,2015-03-30 00:00:00+00:00,002337
244,9500,285.0,2010004212,1,2015-03-30 00:00:00+00:00,002488
245,7900,237.0,2010004504,1,2015-03-30 00:00:00+00:00,300178
246,16500,495.0,2010004713,1,2015-03-30 00:00:00+00:00,300231
247,11300,339.0,2010004819,1,2015-03-30 00:00:00+00:00,300248
248,13400,402.0,2010004840,1,2015-03-30 00:00:00+00:00,002609
249,2700,81.0,2010005082,1,2015-03-30 00:00:00+00:00,300295
250,17100,513.0,2010006863,1,2015-03-30 00:00:00+00:00,300310
251,1800,54.0,2010007655,1,2015-03-30 00:00:00+00:00,300359
252,8900,267.0,2010007672,1,2015-03-30 00:00:00+00:00,300363
253,4500,135.0,2010007693,1,2015-03-30 00:00:00+00:00,300377
254,4500,135.0,2010007715,1,2015-03-30 00:00:00+00:00,300383
255,1400,42.0,2010000483,1,2015-03-31 00:00:00+00:00,600571
256,7400,222.0,2010000705,1,2015-03-31 00:00:00+00:00,600794
257,1600,48.0,2010001550,1,2015-03-31 00:00:00+00:00,002107
258,500,15.0,2010001596,1,2015-03-31 00:00:00+00:00,002153
259,1100,33.0,2010001638,1,2015-03-31 00:00:00+00:00,002195
260,6300,189.0,2010001688,1,2015-03-31 00:00:00+00:00,002245
261,700,21.0,2010001711,1,2015-03-31 00:00:00+00:00,002268
262,1500,45.0,2010003318,1,2015-03-31 00:00:00+00:00,300010
263,300,9.0,2010003380,1,2015-03-31 00:00:00+00:00,300033
264,4200,126.0,2010003403,1,2015-03-31 00:00:00+00:00,002337
265,1400,42.0,2010004212,1,2015-03-31 00:00:00+00:00,002488
266,900,27.0,2010004504,1,2015-03-31 00:00:00+00:00,300178
267,2600,78.0,2010004713,1,2015-03-31 00:00:00+00:00,300231
268,900,27.0,2010004819,1,2015-03-31 00:00:00+00:00,300248
269,1900,57.0,2010004840,1,2015-03-31 00:00:00+00:00,002609
270,500,15.0,2010005082,1,2015-03-31 00:00:00+00:00,300295
271,1400,42.0,2010006863,1,2015-03-31 00:00:00+00:00,300310
272,400,12.0,2010007655,1,2015-03-31 00:00:00+00:00,300359
273,1500,45.0,2010007672,1,2015-03-31 00:00:00+00:00,300363
274,500,15.0,2010007693,1,2015-03-31 00:00:00+00:00,300377
275,500,15.0,2010007715,1,2015-03-31 00:00:00+00:00,300383
276,-300,9.0,2010000483,1,2015-04-01 00:00:00+00:00,600571
277,1700,51.0,2010000705,1,2015-04-01 00:00:00+00:00,600794
278,600,18.0,2010001550,1,2015-04-01 00:00:00+00:00,002107
279,200,6.0,2010001638,1,2015-04-01 00:00:00+00:00,002195
280,1400,42.0,2010001688,1,2015-04-01 00:00:00+00:00,002245
281,100,3.0,2010003380,1,2015-04-01 00:00:00+00:00,300033
282,900,27.0,2010003403,1,2015-04-01 00:00:00+00:00,002337
283,200,6.0,2010004504,1,2015-04-01 00:00:00+00:00,300178
284,500,15.0,2010004713,1,2015-04-01 00:00:00+00:00,300231
285,500,15.0,2010004819,1,2015-04-01 00:00:00+00:00,300248
286,-800,24.0,2010004840,1,2015-04-01 00:00:00+00:00,002609
287,-1100,33.0,2010006863,1,2015-04-01 00:00:00+00:00,300310
288,400,12.0,2010007672,1,2015-04-01 00:00:00+00:00,300363
289,-100,3.0,2010007693,1,2015-04-01 00:00:00+00:00,300377
290,-200,6.0,2010007715,1,2015-04-01 00:00:00+00:00,300383
291,-9600,288.0,2010000483,1,2015-04-02 00:00:00+00:00,600571
292,-51500,1545.0,2010000705,1,2015-04-02 00:00:00+00:00,600794
293,-16700,501.0,2010001550,1,2015-04-02 00:00:00+00:00,002107
294,-4500,135.0,2010001596,1,2015-04-02 00:00:00+00:00,002153
295,-8900,267.0,2010001638,1,2015-04-02 00:00:00+00:00,002195
296,-48900,1467.0,2010001688,1,2015-04-02 00:00:00+00:00,002245
297,-5100,153.0,2010001711,1,2015-04-02 00:00:00+00:00,002268
298,-4600,138.0,2010003380,1,2015-04-02 00:00:00+00:00,300033
299,-29500,885.0,2010003403,1,2015-04-02 00:00:00+00:00,002337
300,-10900,327.0,2010004212,1,2015-04-02 00:00:00+00:00,002488
301,-9000,270.0,2010004504,1,2015-04-02 00:00:00+00:00,300178
302,-19600,588.0,2010004713,1,2015-04-02 00:00:00+00:00,300231
303,-12700,381.0,2010004819,1,2015-04-02 00:00:00+00:00,300248
304,-14500,435.0,2010004840,1,2015-04-02 00:00:00+00:00,002609
305,-3200,96.0,2010005082,1,2015-04-02 00:00:00+00:00,300295
306,-17400,522.0,2010006863,1,2015-04-02 00:00:00+00:00,300310
307,-2200,66.0,2010007655,1,2015-04-02 00:00:00+00:00,300359
308,-10800,324.0,2010007672,1,2015-04-02 00:00:00+00:00,300363
309,-4900,147.0,2010007693,1,2015-04-02 00:00:00+00:00,300377
310,-4800,144.0,2010007715,1,2015-04-02 00:00:00+00:00,300383
311,-200,6.0,2010003318,1,2015-04-01 00:00:00+00:00,300010
312,-11500,345.0,2010003318,1,2015-04-13 00:00:00+00:00,300010
313,12800,384.0,2010000255,1,2015-04-16 00:00:00+00:00,600288
314,15700,471.0,2010000336,1,2015-04-16 00:00:00+00:00,600380
315,30100,903.0,2010000355,1,2015-04-16 00:00:00+00:00,600401
316,14600,438.0,2010000534,1,2015-04-16 00:00:00+00:00,600623
317,16000,480.0,2010000584,1,2015-04-16 00:00:00+00:00,600673
318,30600,918.0,2010000606,1,2015-04-16 00:00:00+00:00,600695
319,513000,15390.0,2010000900,1,2015-04-16 00:00:00+00:00,900919
320,17000,510.0,2010001855,1,2015-04-16 00:00:00+00:00,002269
321,17700,531.0,2010004198,1,2015-04-16 00:00:00+00:00,300131
322,9700,291.0,2010004322,1,2015-04-16 00:00:00+00:00,002515
323,11300,339.0,2010004462,1,2015-04-16 00:00:00+00:00,601700
324,3900,117.0,2010004473,1,2015-04-16 00:00:00+00:00,300168
325,16900,507.0,2010004487,1,2015-04-16 00:00:00+00:00,300172
326,8000,240.0,2010004561,1,2015-04-16 00:00:00+00:00,300190
327,7500,225.0,2010004630,1,2015-04-16 00:00:00+00:00,300209
328,22000,660.0,2010004691,1,2015-04-16 00:00:00+00:00,601010
329,14900,447.0,2010004733,1,2015-04-16 00:00:00+00:00,002595
330,37100,1113.0,2010004791,1,2015-04-16 00:00:00+00:00,002600
331,6600,198.0,2010004911,1,2015-04-16 00:00:00+00:00,300269
332,12800,384.0,2010004960,1,2015-04-16 00:00:00+00:00,002636
333,30200,906.0,2010005034,1,2015-04-16 00:00:00+00:00,002652
334,8100,243.0,2010006953,1,2015-04-16 00:00:00+00:00,002685
335,11600,348.0,2010006964,1,2015-04-16 00:00:00+00:00,300328
336,9100,273.0,2010007675,1,2015-04-16 00:00:00+00:00,300372
337,5200,156.0,2010007704,1,2015-04-16 00:00:00+00:00,300379
338,4300,129.0,2010008391,1,2015-04-16 00:00:00+00:00,300388
339,3900,117.0,2010009984,1,2015-04-16 00:00:00+00:00,300433
340,4100,123.0,2010009991,1,2015-04-16 00:00:00+00:00,603729
341,1800,54.0,2010000255,1,2015-04-17 00:00:00+00:00,600288
342,1400,42.0,2010000336,1,2015-04-17 00:00:00+00:00,600380
343,2200,66.0,2010000355,1,2015-04-17 00:00:00+00:00,600401
344,1400,42.0,2010000534,1,2015-04-17 00:00:00+00:00,600623
345,1900,57.0,2010000584,1,2015-04-17 00:00:00+00:00,600673
346,4300,129.0,2010000606,1,2015-04-17 00:00:00+00:00,600695
347,87900,2637.0,2010000900,1,2015-04-17 00:00:00+00:00,900919
348,1900,57.0,2010001855,1,2015-04-17 00:00:00+00:00,002269
349,2200,66.0,2010004198,1,2015-04-17 00:00:00+00:00,300131
350,1300,39.0,2010004322,1,2015-04-17 00:00:00+00:00,002515
351,1500,45.0,2010004462,1,2015-04-17 00:00:00+00:00,601700
352,700,21.0,2010004473,1,2015-04-17 00:00:00+00:00,300168
353,2500,75.0,2010004487,1,2015-04-17 00:00:00+00:00,300172
354,900,27.0,2010004561,1,2015-04-17 00:00:00+00:00,300190
355,600,18.0,2010004630,1,2015-04-17 00:00:00+00:00,300209
356,3600,108.0,2010004691,1,2015-04-17 00:00:00+00:00,601010
357,1800,54.0,2010004733,1,2015-04-17 00:00:00+00:00,002595
358,3900,117.0,2010004791,1,2015-04-17 00:00:00+00:00,002600
359,700,21.0,2010004911,1,2015-04-17 00:00:00+00:00,300269
360,1800,54.0,2010004960,1,2015-04-17 00:00:00+00:00,002636
361,3400,102.0,2010005034,1,2015-04-17 00:00:00+00:00,002652
362,1600,48.0,2010006953,1,2015-04-17 00:00:00+00:00,002685
363,1300,39.0,2010006964,1,2015-04-17 00:00:00+00:00,300328
364,1100,33.0,2010007675,1,2015-04-17 00:00:00+00:00,300372
365,600,18.0,2010008391,1,2015-04-17 00:00:00+00:00,300388
366,300,9.0,2010009984,1,2015-04-17 00:00:00+00:00,300433
367,400,12.0,2010009991,1,2015-04-17 00:00:00+00:00,603729
368,5500,165.0,2010000255,1,2015-04-20 00:00:00+00:00,600288
369,-17100,513.0,2010000336,1,2015-04-20 00:00:00+00:00,600380
370,-32300,969.0,2010000355,1,2015-04-20 00:00:00+00:00,600401
371,-16000,480.0,2010000534,1,2015-04-20 00:00:00+00:00,600623
372,8500,255.0,2010000584,1,2015-04-20 00:00:00+00:00,600673
373,16000,480.0,2010000606,1,2015-04-20 00:00:00+00:00,600695
374,-600900,18027.0,2010000900,1,2015-04-20 00:00:00+00:00,900919
375,-21100,633.0,2010001161,1,2015-03-17 00:00:00+00:00,000626
376,7700,231.0,2010001855,1,2015-04-20 00:00:00+00:00,002269
377,9900,297.0,2010004198,1,2015-04-20 00:00:00+00:00,300131
378,5200,156.0,2010004322,1,2015-04-20 00:00:00+00:00,002515
